Entry,author1,x4Ref1
10001,R.W.Hockenbury+,"J,PR,178,1746,1969"
10002,Z.M.Bartolome+,"J,NSE,37,137,1969"
10003,R.B.Schwartz+,"R,NBS-MONO-138,1974"
10004,R.B.Schwartz+,"R,NBS-MONO-138,1974"
10005,R.B.Schwartz+,"J,PL/B,30,36,1969"
10006,R.B.Schwartz+,"R,NBS-MONO-138,1974"
10007,G.L.Sherwood+,"J,NSE,39,67,1970"
10008,A.B.Smith+,"J,PR/C,1,581,1970"
10009,J.F.Whalen+,"R,ANL-7710,9,1971"
10010,A.B.Smith+,"J,NSE,41,63,1970"
10011,A.D.Carlson+,"J,NSE,42,28,1970"
10012,S.M.Grimes,"J,NP/A,124,369,1969"
10013,M.Lounsbury+,"C,70HELSINKI,1,287,1970"
10014,R.B.Schwartz+,"C,68WASH,,771,1968"
10015,R.B.Schwartz+,"J,BAP,14,494(AH4),1969"
10016,D.M.Drake,"J,NP/A,133,108,1969"
10017,D.C.Rorer+,"J,NP/A,133,410,1969"
10018,J.Halperin+,"J,NSE,37,228,1969"
10019,R.L.Macklin+,"J,PR,181,1639,1969"
10020,W.K.Robinson+,"J,AJP,37,482,1969"
10021,J.C.Davis+,"J,NP/A,134,361,1969"
10022,R.C.Barrall+,"R,AFWL-TR-68-134,1969"
10023,H.O.Menlove+,"J,NSE,40,136,1970"
10024,J.Romero+,"J,BAP,14,553(DG4),1969"
10025,D.M.Drake+,"J,NSE,40,294,1970"
10026,N.D.Dudey+,"J,JNE,23,443,1969"
10027,F.G.Perey+,"R,ORNL-4441,1969"
10028,J.L.Fowler+,"J,PR/C,2,124,1970"
10029,V.C.Rogers+,"J,NP/A,137,85,1969"
10030,N.D.Dudey+,"J,JNE,24,181,1970"
10031,R.C.Barrall+,"J,NP/A,138,387,1969"
10032,M.G.Silbert+,"J,NSE,52,176,1973"
10033,R.B.Schwartz+,"R,NBS-MONO-138,1974"
10034,J.Meadows+,"J,ZP,243,171,1971"
10035,R.Gwin+,"J,NSE,45,25,1971"
10036,L.N.Rothenberg,"J,PR/C,1,1226,1970"
10037,P.Boschung+,"J,NP/A,161,593,1971"
10038,V.R.Dave+,"J,NP/A,142,619,1970"
10039,Y.Ito+,"J,PR,185,961,1969"
10040,T.J.King+,"J,NP/A,138,556,1969"
10041,A.Stolovy+,"J,PR/C,4,1466,1971"
10042,G.H.E.Sims+,"J,JIN,31,3721,1969"
10043,S.C.Mathur+,"J,PR,186,1038,1969"
10044,E.F.Parker+,"J,PL/B,31,246,1970"
10045,K.C.Chung+,"J,PR/C,2,139,1970"
10046,F.Rahn+,"J,PR/C,6,251,1972"
10047,D.G.Foster jr+,"J,PR/C,3,576,1971"
10048,E.Barnard+,"J,NP/A,229,189,1974"
10049,M.P.Fricke+,"C,70HELSINKI,2,265,1970"
10050,J.W.Meadows+,"J,NSE,41,351,1970"
10051,S.F.Mughabghab+,"J,PR,180,1131,1969"
10052,S.F.Mughabghab+,"J,PR/C,1,1850,1970"
10053,O.A.Wasson+,"J,PR/C,2,675,1970"
10054,J.D.Cramer+,"R,LA-4285,1969"
10055,J.A.Farrell,"R,LA-4420,3,1970"
10056,D.W.Bergen,"R,LA-4420,21,1970"
10057,J.D.Cramer,"R,LA-4420,45,1970"
10058,J.D.Cramer+,"R,LA-4420,74,1970"
10059,J.W.Mcnally+,"J,PR/C,9,717,1974"
10060,W.K.Brown+,"J,NP/A,156,609,1970"
10061,D.M.Drake+,"R,LA-4420,101,1970"
10062,D.W.Bergen+,"J,NP/A,163,577,1971"
10063,P.A.Seeger,"R,LA-4420,138,1970"
10064,R.R.Fullwood+,"R,LA-4420,157,1970"
10065,M.R.Bhat+,"J,PR/C,2,1115,1970"
10066,G.Brunhart+,"J,PR/C,2,1137,1970"
10067,G.A.Cowan+,"J,PR/C,2,615,1970"
10068,H.T.Heaton ii+,"J,BAP,15,568(GF7),1970"
10069,R.B.Schwartz+,"R,NBS-MONO-138,1974"
10070,R.B.Schwartz+,"J,BAP,16,495(AH3),1971"
10071,J.F.Whalen+,"R,ANL-7710,12,1971"
10072,J.W.Meadows+,"J,NSE,48,221,1972"
10073,A.B.Smith+,"J,NSE,49,389,1972"
