Entry,author1
10001,R.W.Hockenbury+
10002,Z.M.Bartolome+
10003,R.B.Schwartz+
10004,R.B.Schwartz+
10005,R.B.Schwartz+
10006,R.B.Schwartz+
10007,G.L.Sherwood+
10008,A.B.Smith+
10009,J.F.Whalen+
10010,A.B.Smith+
10011,A.D.Carlson+
10012,S.M.Grimes
10013,M.Lounsbury+
10014,R.B.Schwartz+
10015,R.B.Schwartz+
10016,D.M.Drake
10017,D.C.Rorer+
10018,J.Halperin+
10019,R.L.Macklin+
10020,W.K.Robinson+
10021,J.C.Davis+
10022,R.C.Barrall+
10023,H.O.Menlove+
10024,J.Romero+
10025,D.M.Drake+
10026,N.D.Dudey+
10027,F.G.Perey+
10028,J.L.Fowler+
10029,V.C.Rogers+
10030,N.D.Dudey+
10031,R.C.Barrall+
10032,M.G.Silbert+
10033,R.B.Schwartz+
10034,J.Meadows+
10035,R.Gwin+
10036,L.N.Rothenberg
10037,P.Boschung+
10038,V.R.Dave+
10039,Y.Ito+
10040,T.J.King+
10041,A.Stolovy+
10042,G.H.E.Sims+
10043,S.C.Mathur+
10044,E.F.Parker+
10045,K.C.Chung+
10046,F.Rahn+
10047,D.G.Foster jr+
10048,E.Barnard+
10049,M.P.Fricke+
10050,J.W.Meadows+
10051,S.F.Mughabghab+
10052,S.F.Mughabghab+
10053,O.A.Wasson+
10054,J.D.Cramer+
10055,J.A.Farrell
10056,D.W.Bergen
10057,J.D.Cramer
10058,J.D.Cramer+
10059,J.W.Mcnally+
10060,W.K.Brown+
10061,D.M.Drake+
10062,D.W.Bergen+
10063,P.A.Seeger
10064,R.R.Fullwood+
10065,M.R.Bhat+
10066,G.Brunhart+
10067,G.A.Cowan+
10068,H.T.Heaton ii+
10069,R.B.Schwartz+
10070,R.B.Schwartz+
10071,J.F.Whalen+
10072,J.W.Meadows+
10073,A.B.Smith+
10074,R.G.Stieglitz+
10075,R.E.Chrien+
10076,H.Marshak+
10077,K.Rimawi+
10078,G.L.Morgan+
10079,G.de saussure+
10080,K.J.Wetzel+
10081,H.I.Liou+
